STATE,FL_INT,PRES_INT,PRES_EXT,PRES_PAC,Flow,VOLUME,VALVE_INS,REF
1,0,0.94,-0.44,0.89,-5.29,4.86,5,10
1,0,0.96,-0.44,0.94,-1.71,4.86,10,10
1,0,1.12,-0.44,1.03,1.93,4.86,15,10
1,0,1.4,-0.44,1.25,5.05,4.86,20,10
1,0,1.71,-0.44,1.49,7.91,4.86,25,10
1,0,2.07,-0.44,1.73,10.79,4.86,30,10
1,0,2.51,-0.44,2.07,13.2,4.86,35,10
1,0,3.02,-0.44,2.5,15.86,4.86,40,10
1,0,3.58,-0.44,2.94,18.48,4.86,45,10
1,0,4.32,-0.44,3.54,21.82,4.87,50,10
1,0,5.17,-0.44,4.2,24.88,4.87,55,10
1,0,6.08,-0.44,4.9,27.99,4.87,60,10
1,0,7.15,-0.44,5.69,31.22,4.87,65,10
1,0,8.23,-0.44,6.49,33.78,4.87,70,10
1,0,9.22,-0.44,7.23,36.19,4.87,75,10
1,0,10.31,-0.44,8.02,38.29,4.88,76.74,10
1,0,11.4,-0.44,8.77,40.17,4.88,71.74,10
1,0,12.26,-0.44,9.36,41.3,4.88,66.74,10
1,0,12.77,-0.44,9.73,41.7,4.88,61.74,10
1,0,13.06,-0.44,9.95,41.9,4.89,56.74,10
1,0,13.29,-0.44,9.97,41.55,4.89,51.74,10
1,0,13.35,-0.44,9.98,41.3,4.89,46.74,10
1,0,13.32,-0.44,9.93,40.22,4.89,41.74,10
1,0,13.12,-0.44,9.78,38.78,4.9,36.74,10
1,0,12.93,-0.44,9.6,37.23,4.9,31.74,10
1,0,12.78,-0.44,9.48,36.29,4.9,26.74,10
2,0,12.54,-0.44,9.31,34.77,4.9,21.74,10
2,0,12.17,-0.44,9.01,32.57,4.91,21.74,10
2,0,11.52,-0.44,8.54,28.24,4.91,21.74,10
2,0,10.93,-0.44,8.18,26.35,4.91,21.74,10
2,0,10.65,-0.44,7.95,25.05,4.91,21.74,10
2,0,10.4,-0.44,7.79,23.32,4.91,21.74,10
4,0,9.71,-0.44,7.26,19.97,4.91,21.74,10
4,0,9.2,-0.44,6.81,18.1,4.91,0,0
4,0,8.7,-0.44,6.44,17.12,4.91,0,0
4,0,8.27,-0.44,6.13,15.9,4.92,0,0
4,0,7.88,-0.44,5.89,15.09,4.92,0,0
4,0,7.51,-0.44,5.65,14.7,4.92,0,0
4,0,7.22,-0.44,5.44,14.13,4.92,0,0
4,0,6.94,-0.44,5.24,13.85,4.92,0,0
4,0,6.69,-0.44,5.03,13.53,4.92,0,0
4,0,6.48,-0.44,4.86,12.97,4.92,0,0
4,0,6.27,-0.44,4.71,12.44,4.92,0,0
4,0,6.07,-0.44,4.57,11.91,4.92,0,0
4,0,5.89,-0.44,4.44,11.5,4.92,0,0
4,0,5.71,-0.44,4.32,11.23,4.92,0,0
4,0,5.54,-0.44,4.21,10.95,4.92,0,0
4,0,5.39,-0.44,4.11,10.76,4.92,0,0
4,0,5.25,-0.44,4.02,10.54,4.93,0,0
4,0,5.12,-0.44,3.92,10.49,4.93,0,0
4,0,4.98,-0.44,3.84,10.36,4.93,0,0
4,0,4.85,-0.44,3.76,10.02,4.93,0,0
4,0,4.72,-0.44,3.68,9.78,4.93,0,0
4,0,4.6,-0.44,3.59,9.27,4.93,0,0
4,0,4.47,-0.44,3.51,8.41,4.93,0,0
4,0,4.33,-0.44,3.38,6.6,4.93,0,0
4,0,4.2,-0.44,3.27,6.06,4.93,0,0
4,0,4.08,-0.44,3.16,5.84,4.93,0,0
4,0,3.95,-0.44,3.06,5.46,4.93,0,0
4,0,3.81,-0.44,2.95,5.06,4.93,0,0
4,0,3.68,-0.44,2.85,5.04,4.93,0,0
4,0,3.54,-0.44,2.79,3.91,4.93,0,0
4,0,3.4,-0.44,2.72,4.29,4.93,0,0
4,0,3.27,-0.44,2.66,4.6,4.93,0,0
4,0,3.12,-0.44,2.6,4.85,4.93,0,0
4,0,2.98,-0.44,2.53,4.87,4.93,0,0
4,0,2.85,-0.44,2.39,5.17,4.93,0,0
4,0,2.71,-0.44,2.26,4.73,4.93,0,0
4,0,2.57,-0.44,2.13,3.66,4.93,0,0
4,0,2.45,-0.44,2,2.21,4.93,0,0
4,0,2.31,-0.44,1.89,0.53,4.93,0,0
4,0,2.18,-0.44,1.78,-0.58,4.93,0,0
4,0,2.05,-0.44,1.69,-1.97,4.93,0,0
4,0,1.93,-0.44,1.61,-2.81,4.93,0,0
4,0,1.8,-0.44,1.51,-3.62,4.93,0,0
4,0,1.68,-0.44,1.43,-3.7,4.93,0,0
4,0,1.58,-0.44,1.34,-4.19,4.93,0,0
4,0,1.48,-0.44,1.25,-4.42,4.93,0,0
4,0,1.38,-0.44,1.15,-4.96,4.93,0,0
4,0,1.28,-0.44,1.04,-5.34,4.93,0,0
4,0,1.17,-0.44,0.95,-5.74,4.93,0,0
4,0,1.06,-0.44,0.87,-6.5,4.93,0,0
4,0,0.96,-0.44,0.79,-7.08,4.93,0,0
1,0,0.85,-0.44,0.7,-7.51,4.93,0,0
1,0,1.03,-0.44,0.84,-3.77,4.93,5,10
1,0,1.06,-0.44,0.91,-0.3,4.93,10,10
1,0,1.22,-0.44,1.05,3.22,4.93,15,10
1,0,1.54,-0.44,1.29,6.37,4.93,20,10
1,0,1.87,-0.44,1.54,9.19,4.93,25,10
1,0,2.2,-0.44,1.78,11.76,4.93,30,10
1,0,2.63,-0.44,2.11,14.57,4.93,35,10
1,0,3.18,-0.44,2.51,16.82,4.93,40,10
1,0,3.67,-0.44,2.93,18.96,4.93,45,10
1,0,4.39,-0.44,3.51,22.12,4.94,50,10
1,0,5.26,-0.44,4.19,25.2,4.94,55,10
1,0,6.16,-0.44,4.9,28.28,4.94,60,10
1,0,7.1,-0.44,5.58,31.14,4.94,65,10
1,0,8.12,-0.44,6.34,33.74,4.94,70,10
1,0,9.22,-0.44,7.11,36.25,4.95,75,10
1,0,10.35,-0.44,7.96,38.72,4.95,79.95,10
1,0,11.59,-0.44,8.81,40.58,4.95,74.95,10
1,0,12.47,-0.44,9.46,41.6,4.95,69.95,10
1,0,13.06,-0.44,9.88,42.71,4.95,64.95,10
1,0,13.42,-0.44,10.09,43.02,4.96,59.95,10
1,0,13.58,-0.44,10.23,42.52,4.96,54.95,10
1,0,13.79,-0.44,10.38,41.73,4.96,49.95,10
1,0,13.74,-0.44,10.35,41.09,4.97,44.95,10
1,0,13.62,-0.44,10.29,40.23,4.97,39.95,10
1,0,13.44,-0.44,10.08,39.18,4.97,34.95,10
1,0,13.21,-0.44,9.91,37.64,4.97,29.95,10
2,0,12.95,-0.44,9.66,35.86,4.97,24.95,10
2,0,12.72,-0.44,9.49,34.62,4.98,24.95,10
2,0,12.14,-0.44,9.03,30.84,4.98,24.95,10
2,0,11.33,-0.44,8.49,28.1,4.98,24.95,10
2,0,11.02,-0.44,8.23,26.49,4.98,24.95,10
2,0,10.71,-0.44,8.05,24.75,4.98,24.95,10
4,0,10.38,-0.44,7.86,22.82,4.98,24.95,10
